Midterm,Homework,Quiz,Course Grade
56,25,24,20
40,16,24,23
64,27,19,25
50,30,29,25
78,30,46,28
73,39,32,30
65,46,58,33
76,85,41,35
75,53,36,38
92,37,74,44
48,96,39,48
37,23,41,52
59,66,51,53
44,93,46,53
56,35,60,54
74,53,59,59
52,90,49,60
60,27,61,60
58,28,46,60
56,41,52,61
79,64,60,61
74,47,50,61
49,85,76,62
86,85,68,62
72,46,63,62
69,100,49,63
79,26,58,63
61,56,36,63
62,90,70,63
73,36,70,64
51,52,50,64
62,74,58,64
58,73,61,65
67,64,63,65
72,71,72,65
61,69,58,65
62,91,62,66
81,27,70,66
73,30,63,66
69,48,70,67
69,43,58,67
57,97,53,67
57,76,59,68
82,9,44,68
60,66,90,68
78,64,80,68
89,37,44,68
70,90,86,68
83,23,79,69
66,81,45,69
63,82,70,69
82,57,99,69
74,45,61,69
63,86,70,69
86,33,70,69
68,65,68,69
61,73,71,70
69,64,70,70
83,57,79,70
76,60,69,70
67,83,81,70
74,88,67,70
87,88,80,71
63,92,54,71
72,82,56,71
73,88,73,71
79,15,63,71
74,79,68,71
71,80,66,71
89,88,29,71
64,99,56,72
64,92,73,72
60,57,72,72
61,78,74,72
75,82,74,72
66,43,70,72
73,87,71,72
76,64,71,72
67,96,71,72
78,40,43,72
71,77,79,72
71,83,77,73
68,97,64,73
69,73,73,73
87,23,78,73
73,69,56,73
59,88,70,73
67,84,71,73
73,70,69,73
63,90,53,73
72,77,74,73
64,53,74,73
61,91,70,73
72,95,73,73
70,69,61,73
85,91,77,73
83,88,59,74
59,93,77,74
78,23,67,74
77,80,60,74
84,86,68,74
76,91,60,74
88,81,60,74
77,74,80,74
67,65,72,74
75,90,81,74
80,71,83,74
79,61,66,75
66,92,74,75
67,86,75,75
76,49,65,75
72,87,81,75
85,75,49,75
63,82,72,75
80,67,76,76
73,86,83,76
65,94,77,76
67,87,81,76
71,85,63,76
71,95,74,76
77,88,84,76
58,85,82,76
88,86,78,76
79,92,64,76
83,38,69,76
83,95,82,76
81,78,74,76
87,79,79,77
66,99,82,77
78,85,73,77
58,100,86,77
74,76,80,77
68,83,80,77
59,87,82,77
73,79,83,77
75,96,64,77
84,52,78,77
78,71,89,77
69,86,84,77
70,84,82,77
74,84,76,77
70,87,78,77
87,97,89,77
80,67,80,78
79,87,96,78
66,83,76,78
72,98,72,78
69,95,73,78
75,89,84,78
76,92,91,78
76,79,84,78
77,61,64,78
60,73,81,78
73,75,90,78
78,88,86,78
70,85,71,79
68,86,83,79
79,96,76,79
75,85,73,79
85,80,65,79
73,85,84,79
86,86,89,79
76,80,72,79
78,67,50,80
67,76,86,80
78,90,74,80
64,100,76,80
79,87,87,80
98,86,89,80
84,64,86,80
92,78,80,80
79,83,75,80
84,82,76,80
72,100,76,80
84,91,86,80
78,86,86,80
77,75,83,80
73,87,79,80
89,91,83,81
89,87,80,81
77,94,69,81
98,74,77,81
90,97,76,81
80,38,88,81
74,91,80,81
87,45,87,81
70,94,78,81
80,87,89,82
89,99,76,82
87,90,64,82
85,93,81,82
83,46,94,82
76,90,90,82
90,98,91,82
85,70,86,82
98,36,91,82
86,81,80,82
84,95,86,83
75,65,86,83
89,8,91,83
93,97,80,83
80,79,77,83
77,91,89,83
85,43,86,83
90,99,84,83
75,96,74,83
89,98,77,83
73,98,81,83
67,87,96,83
82,100,85,83
86,82,83,84
91,75,91,84
85,94,74,84
82,84,71,84
82,94,99,84
84,100,90,84
85,90,81,84
76,88,84,84
90,89,81,84
82,94,84,84
74,95,89,84
88,90,89,84
72,90,96,84
79,100,91,84
87,97,74,84
74,91,91,84
90,100,92,84
92,97,86,85
90,93,81,85
85,82,88,85
83,98,74,85
78,94,92,85
92,98,89,85
82,88,80,85
90,80,96,85
87,91,82,85
78,96,79,85
68,88,80,85
93,8,94,85
79,92,73,85
93,38,99,85
81,91,99,85
100,70,84,85
89,51,84,85
86,93,80,85
91,79,91,85
84,98,86,86
87,100,89,86
85,99,79,86
82,84,80,86
82,83,90,86
83,96,81,86
88,88,77,86
74,100,86,86
94,59,87,86
94,99,100,86
88,80,95,86
84,93,90,86
74,100,96,86
79,90,79,86
90,94,74,86
74,98,80,86
89,98,88,86
93,95,74,87
92,81,94,87
91,72,97,87
74,79,86,87
95,85,82,87
83,93,91,87
94,100,92,87
89,81,93,87
80,85,83,87
91,63,100,87
83,92,100,87
88,78,97,87
91,97,96,87
84,96,86,87
74,77,96,87
83,93,87,87
87,98,96,87
86,97,88,88
88,100,90,88
88,88,91,88
79,98,86,88
87,91,99,88
73,96,96,88
91,76,90,88
84,99,96,88
86,81,83,88
87,99,82,88
94,98,97,89
82,91,84,89
91,95,90,89
90,91,83,89
85,100,78,89
95,78,94,89
81,97,89,89
87,81,88,89
83,66,89,89
96,82,89,89
88,100,82,89
92,100,91,90
88,100,91,90
84,66,94,90
90,98,88,90
89,91,85,90
95,51,88,90
94,98,84,90
94,89,92,90
95,79,89,91
86,92,91,91
84,98,92,91
90,99,90,91
93,95,96,91
89,100,100,91
86,96,98,91
90,87,89,91
95,84,96,91
91,89,93,91
90,99,89,91
92,88,90,91
97,83,86,91
74,97,96,91
93,97,91,92
87,84,97,92
91,94,90,92
89,100,91,92
86,91,94,92
88,88,95,92
95,98,82,92
95,94,90,92
82,96,96,92
95,98,90,92
95,99,82,92
100,96,100,93
87,100,86,93
91,99,89,93
96,94,95,93
96,89,89,93
88,100,99,93
94,100,94,93
90,68,100,93
98,89,87,93
94,89,92,93
93,99,84,93
89,98,100,93
94,100,89,94
86,91,88,94
91,97,96,94
90,97,96,94
99,87,92,94
96,100,100,94
93,100,100,94
95,100,89,95
97,100,100,95
88,98,96,95
97,100,97,95
96,100,100,95
95,100,91,95
91,100,88,96
97,96,100,96
94,88,95,96
100,81,94,96
99,100,94,96
99,95,98,96
99,98,100,96
93,99,93,96
99,71,100,96
89,83,92,96
97,100,97,96
97,100,91,96
91,100,100,97
90,95,95,97
89,99,100,97
97,100,100,97
99,92,97,98
98,96,100,98
99,92,97,98
96,100,100,99
98,99,100,99
100,99,93,99
95,100,100,99
98,97,100,99
96,94,100,100
99,99,99,100
